EVENT_NO.,Begin,Finish,rain,duration,average_intensity,Max_intensity,water_stoaage
1,2014/2/3 19:20,2014/2/5 18:10,42.8,46.83,0.91,1,12.43
2,2014/2/8 13:20,2014/2/10 9:30,51.0,44.2,1.2,1.0,5.08
3,2014/2/10 23:30,2014/2/11 6:00,1.4,6.5,0.2,0.2,0.27
4,2014/2/11 18:30,2014/2/14 6:40,11.2,60.2,0.2,0.4,3.04
5,2014/2/14 20:40,2014/2/16 1:30,6.0,28.8,0.2,0.2,1.19
6,2014/2/19 5:40,2014/2/19 23:40,13.8,18.0,0.8,1.0,6.27
7,2014/2/22 14:50,2014/2/23 9:50,8.0,19.0,0.4,0.8,2.40
8,2014/2/26 19:10,2014/2/28 16:50,6.8,45.7,0.1,0.2,2.23
9,2014/3/1 23:00,2014/3/9 3:00,52.0,172.0,0.3,1.8,2.35
10,2014/3/12 19:50,2014/3/13 7:40,15.6,11.8,1.3,3.2,7.48
11,2014/3/20 11:30,2014/3/21 12:00,9.0,24.5,0.4,1.0,2.83
12,2014/3/27 15:20,2014/3/28 6:30,15.4,15.2,1.0,2.4,8.64
13,2014/3/29 19:30,2014/3/30 12:00,8.2,16.5,0.5,3.0,1.15
14,2014/3/31 3:30,2014/3/31 7:20,12.2,3.8,3.2,1.4,6.58
15,2014/4/6 8:40,2014/4/8 5:40,10.2,45.0,0.2,0.4,4.85
16,2014/4/9 19:20,2014/4/11 5:10,8.8,33.8,0.3,0.4,2.60
17,2014/4/13 23:20,2014/4/15 1:40,3.0,26.3,0.1,0.2,1.01
18,2014/4/23 14:50,2014/4/24 9:20,20.2,18.5,1.1,4.2,10.96
19,2014/4/25 4:20,2014/4/27 4:00,37.0,47.7,0.8,10.2,1.02
20,2014/4/30 8:20,2014/5/1 19:30,34.4,35.2,1.0,2.0,2.30
21,2014/5/2 7:40,2014/5/4 7:40,26.8,48.0,0.6,2.2,0.34
22,2014/5/5 2:10,2014/5/11 20:40,82.2,162.5,0.5,5.4,1.34
23,2014/5/12 12:50,2014/5/13 21:40,17.6,32.8,0.5,4.6,0.37
24,2014/5/15 12:10,2014/5/16 20:30,15.8,32.3,0.5,4.6,1.01
25,2014/5/19 10:20,2014/5/19 15:20,12.6,5.0,2.5,1.2,2.03
26,2014/5/20 7:00,2014/5/24 1:50,59.0,90.8,0.6,6.0,1.56
27,2014/5/24 14:00,2014/5/24 20:10,13.4,6.2,2.2,2.4,2.19
28,2014/5/25 13:40,2014/5/25 15:00,6.4,1.3,4.8,3.4,1.78
29,2014/5/28 15:10,2014/5/28 19:50,19.6,4.7,4.2,3.6,4.40
30,2014/5/29 10:00,2014/5/29 23:20,15.6,13.3,1.2,2.6,0.88
31,2014/5/30 11:40,2014/5/31 6:30,30.0,18.8,1.6,4.0,0.30
32,2014/6/3 1:00,2014/6/4 8:20,12.0,31.3,0.4,1.8,1.37
33,2014/6/5 14:10,2014/6/7 20:30,99.4,54.3,1.8,11.4,5.36
34,2014/6/8 12:20,2014/6/12 6:30,73.6,90.2,0.8,6.8,0.88
35,2014/6/14 14:20,2014/6/15 20:20,11.2,30.0,0.4,1.4,4.01
36,2014/6/20 15:50,2014/6/21 17:50,43.2,26.0,1.7,11.6,5.18
37,2014/6/23 8:20,2014/6/25 0:40,41.4,40.3,1.0,9.0,2.67
38,2014/6/25 14:00,2014/6/25 16:30,12.8,2.5,5.1,6.8,0.62
39,2014/6/28 17:40,2014/6/29 4:30,4.8,10.8,0.4,3.4,2.56
40,2014/6/29 16:50,2014/7/1 1:20,61.6,32.5,1.9,12.8,1.57
41,2014/7/3 18:20,2014/7/4 2:20,8.2 ,8.0 ,1.0 ,6.0 ,4.58
42,2014/7/7 20:00,2014/7/8 17:10,42.4 ,21.2 ,2.0 ,4.2 ,11.90
43,2014/7/13 8:10,2014/7/13 15:10,13.2 ,7.0 ,1.9 ,11.0 ,7.76
44,2014/7/21 20:40,2014/7/23 17:50,231.0 ,45.2 ,5.1 ,9.8 ,14.40
45,2014/7/31 5:30,2014/7/31 15:30,38.6 ,10.0 ,3.9 ,9.6 ,9.13
46,2014/8/2 13:40,2014/8/3 14:40,14.2 ,25.0 ,0.6 ,4.8 ,3.72
47,2014/8/10 13:00,2014/8/10 13:30,0.4 ,0.5 ,0.8 ,0.2 ,0.74
48,2014/8/11 7:20,2014/8/12 21:40,45.2 ,38.3 ,1.2 ,4.2 ,8.68
49,2014/8/13 14:20,2014/8/14 3:20,62.6 ,13.0 ,4.8 ,14.0 ,2.35
50,2014/8/19 12:40,2014/8/21 16:10,36.4 ,51.5 ,0.7 ,6.6 ,6.14
51,2014/8/31 4:30,2014/8/31 12:30,3.6 ,8.0 ,0.4 ,2.2 ,9.49
52,2014/9/6 11:50,2014/9/7 15:50,3.0 ,28.0 ,0.1 ,1.2 ,-0.03
53,2014/9/9 14:00,2014/9/9 14:30,0.8 ,0.5 ,1.6 ,0.4 ,2.52
54,2014/9/11 17:30,2014/9/12 0:30,22.8 ,7.0 ,3.3 ,7.2 ,6.38
55,2014/9/12 12:50,2014/9/12 16:10,1.4 ,3.3 ,0.4 ,0.4 ,0.09
56,2014/9/14 6:30,2014/9/14 22:20,6.0 ,15.8 ,0.4 ,1.8 ,3.03
57,2014/9/21 2:30,2014/9/22 9:10,161.0 ,30.7 ,5.2 ,15.2 ,7.87
58,2014/9/23 4:30,2014/9/23 18:50,8.2 ,14.3 ,0.6 ,1.8 ,1.49
59,2014/9/24 9:20,2014/9/24 21:40,30.4 ,12.3 ,2.5 ,4.0 ,4.09
60,2014/9/25 12:50,2014/9/26 22:50,72.0 ,34.0 ,2.1 ,9.2 ,0.44
61,2014/9/30 20:10,2014/10/1 20:00,3.6 ,23.8 ,0.2 ,0.8 ,0.05
62,2014/10/6 23:30,2014/10/12 9:20,73.8 ,129.8 ,0.6 ,3.4 ,13.97
63,2014/10/17 16:10,2014/10/18 8:00,10.0 ,15.8 ,0.6 ,0.6 ,11.38
64,2014/10/19 11:00,2014/10/20 7:40,3.2 ,20.7 ,0.2 ,1.0 ,0.97
65,2014/10/22 11:40,2014/10/25 21:20,15.6 ,81.7 ,0.2 ,0.6 ,6.01
66,2014/10/27 8:00,2014/10/27 13:10,6.4 ,5.2 ,1.2 ,2.8 ,10.48
67,2014/11/2 9:00,2014/11/3 6:10,3.2 ,21.2 ,0.2 ,0.4 ,0.74
68,2014/11/6 14:20,2014/11/7 17:30,9.2 ,27.2 ,0.3 ,0.6 ,7.17
69,2014/11/9 2:30,2014/11/11 0:40,15.8 ,46.2 ,0.3 ,0.6 ,4.01
70,2014/11/11 15:20,2014/11/16 5:00,92.4 ,109.7 ,0.8 ,1.4 ,4.01
71,2014/11/16 18:50,2014/11/21 3:50,60.8 ,105.0 ,0.6 ,1.2 ,0.36
72,2014/11/26 14:50,2014/11/28 0:20,28.4 ,33.5 ,0.8 ,1.4 ,11.49
73,2014/11/29 13:00,2014/11/29 17:00,22.0 ,4.0 ,5.5 ,4.0 ,12.77
74,2014/12/1 2:40,2014/12/3 6:00,29.0 ,51.3 ,0.6 ,1.0 ,2.48
75,2014/12/3 23:30,2014/12/5 1:30,10.2 ,26.0 ,0.4 ,1.8 ,0.02
76,2014/12/8 8:10,2014/12/10 6:00,57.6 ,45.8 ,1.3 ,1.4 ,6.42
77,2014/12/11 3:20,2014/12/12 8:10,9.0 ,28.8 ,0.3 ,0.4 ,2.17
78,2014/12/13 18:40,2014/12/14 8:40,4.8 ,14.0 ,0.3 ,0.4 ,1.45
79,2014/12/21 5:00,2014/12/22 1:00,6.8 ,20.0 ,0.3 ,0.4 ,1.31
80,2014/12/24 21:10,2014/12/28 13:20,64.4 ,88.2 ,0.7 ,1.2 ,5.71
